% IIR filter coefficients ? full precision (double)
% Columns: b0  b1  b2  a0  a1  a2
0.142697014883041  0.000000000000000  -0.142697014883041  1.000000000000000  -1.690171598868802  0.714605970233918
0.131243075541331  0.000000000000000  -0.131243075541331  1.000000000000000  -1.692231683611806  0.737513848917338
0.121997155192192  0.000000000000000  -0.121997155192192  1.000000000000000  -1.687384516048214  0.756005689615617
0.114382350880434  0.000000000000000  -0.114382350880434  1.000000000000000  -1.676043619087475  0.771235298239132
0.108007194291063  0.000000000000000  -0.108007194291063  1.000000000000000  -1.658354579096464  0.783985611417875
0.102596480565151  0.000000000000000  -0.102596480565151  1.000000000000000  -1.634275105482869  0.794807038869698
0.097950986993860  0.000000000000000  -0.097950986993860  1.000000000000000  -1.603625653719518  0.804098026012281
0.093922889131461  0.000000000000000  -0.093922889131461  1.000000000000000  -1.566123079230700  0.812154221737078
0.090400159101070  0.000000000000000  -0.090400159101070  1.000000000000000  -1.521404502059290  0.819199681797861
0.087296330674330  0.000000000000000  -0.087296330674330  1.000000000000000  -1.469045709303272  0.825407338651339
0.084543590972029  0.000000000000000  -0.084543590972029  1.000000000000000  -1.408576854317603  0.830912818055942
0.082088000530856  0.000000000000000  -0.082088000530856  1.000000000000000  -1.339497336803226  0.835823998938287
0.079886113209234  0.000000000000000  -0.079886113209234  1.000000000000000  -1.261291256967892  0.840227773581532
0.077902539420824  0.000000000000000  -0.077902539420824  1.000000000000000  -1.173444563656554  0.844194921158351
0.076108158919307  0.000000000000000  -0.076108158919307  1.000000000000000  -1.075464867551140  0.847783682161385
0.074478789555087  0.000000000000000  -0.074478789555087  1.000000000000000  -0.966904810834301  0.851042420889826
0.072994181716430  0.000000000000000  -0.072994181716430  1.000000000000000  -0.847389837989752  0.854011636567140
0.071637249075635  0.000000000000000  -0.071637249075635  1.000000000000000  -0.716651171764531  0.856725501848730
0.070393473254685  0.000000000000000  -0.070393473254685  1.000000000000000  -0.574564740193556  0.859213053490630
0.069250438174997  0.000000000000000  -0.069250438174997  1.000000000000000  -0.421196701135351  0.861499123650006
0.068197462270430  0.000000000000000  -0.068197462270430  1.000000000000000  -0.256856043367836  0.863605075459139
0.067225305368419  0.000000000000000  -0.067225305368419  1.000000000000000  -0.082154476785752  0.865549389263162
0.066325933124223  0.000000000000000  -0.066325933124223  1.000000000000000  0.101926578272765  0.867348133751553
0.065492326236519  0.000000000000000  -0.065492326236519  1.000000000000000  0.293962674269558  0.869015347526963
0.064718324813379  0.000000000000000  -0.064718324813379  1.000000000000000  0.492008274091555  0.870563350373242
0.063998500555207  0.000000000000000  -0.063998500555207  1.000000000000000  0.693516616788368  0.872002998889586
0.063328051119686  0.000000000000000  -0.063328051119686  1.000000000000000  0.895261612734827  0.873343897760627
0.062702712302068  0.000000000000000  -0.062702712302068  1.000000000000000  1.093267680186670  0.874594575395864
0.062118684619933  0.000000000000000  -0.062118684619933  1.000000000000000  1.282755658674783  0.875762630760134
0.061572571618196  -0.000000000000000  -0.061572571618196  1.000000000000000  1.458115565959664  0.876854856763608
0.061061327767070  -0.000000000000000  -0.061061327767070  1.000000000000000  1.612919939840745  0.877877344465860
0.060582214255942  -0.000000000000000  -0.060582214255942  1.000000000000000  1.739994666022667  0.878835571488116
